STATION,NAME,DATE,TAVG,TMAX,TMIN,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/01/48,,28,22,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/02/48,,28,24,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/03/48,,30,22,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/04/48,,29,23,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/05/48,,29,21,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/06/48,,32,17,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/07/48,,32,21,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/08/48,,34,15,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/09/48,,40,26,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/10/48,,26,9,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/11/48,,32,19,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/12/48,,39,20,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/13/48,,36,15,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/14/48,,20,0,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/15/48,,20,-2,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/16/48,,30,19,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/17/48,,24,8,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/18/48,,17,6,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/19/48,,24,1,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/20/48,,37,14,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/21/48,,40,20,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/22/48,,22,9,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/23/48,,9,-5,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/24/48,,13,-2,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/25/48,,20,4,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/26/48,,25,3,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/27/48,,20,10,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/28/48,,20,5,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/29/48,,19,5,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/30/48,,6,-2,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",01/31/48,,16,0,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/01/48,,26,-10,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/02/48,,33,11,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/03/48,,21,4,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/04/48,,15,7,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/05/48,,20,-3,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/06/48,,26,-9,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/07/48,,30,12,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/08/48,,25,3,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/09/48,,18,2,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/10/48,,22,-5,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/11/48,,32,0,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/12/48,,32,11,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/13/48,,40,11,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/14/48,,44,18,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/15/48,,28,11,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/16/48,,44,20,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/17/48,,43,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/18/48,,40,27,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/19/48,,59,29,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/20/48,,36,15,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/21/48,,25,10,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/22/48,,28,16,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/23/48,,32,18,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/24/48,,49,19,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/25/48,,47,28,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/26/48,,37,28,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/27/48,,38,30,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/28/48,,46,25,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",02/29/48,,25,16,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/01/48,,32,6,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/02/48,,30,26,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/03/48,,27,23,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/04/48,,27,11,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/05/48,,18,1,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/06/48,,41,-3,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/07/48,,43,30,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/08/48,,32,25,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/09/48,,39,25,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/10/48,,28,20,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/11/48,,20,4,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/12/48,,22,0,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/13/48,,32,5,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/14/48,,50,12,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/15/48,,51,36,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/16/48,,65,34,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/17/48,,36,26,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/18/48,,45,28,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/19/48,,60,37,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/20/48,,64,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/21/48,,69,41,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/22/48,,60,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/23/48,,49,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/24/48,,57,35,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/25/48,,46,28,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/26/48,,71,32,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/27/48,,64,26,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/28/48,,33,22,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/29/48,,57,21,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/30/48,,46,31,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",03/31/48,,68,32,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/01/48,,63,45,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/02/48,,45,32,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/03/48,,38,27,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/04/48,,63,22,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/05/48,,75,47,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/06/48,,59,42,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/07/48,,66,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/08/48,,74,43,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/09/48,,43,28,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/10/48,,48,24,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/11/48,,58,35,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/12/48,,58,40,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/13/48,,47,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/14/48,,43,38,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/15/48,,56,37,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/16/48,,66,37,
USW00014768,"ROCHESTER GREATER INTERNATIONAL, NY US",04/17/48,,44,30,
